,rewards
0,-20.0
1,-21.0
2,-21.0
3,-21.0
4,-21.0
5,-21.0
6,-21.0
7,-21.0
8,-21.0
9,-21.0
10,-21.0
11,-21.0
12,-21.0
13,-20.0
14,-17.0
15,-20.0
16,-20.0
17,-21.0
18,-21.0
19,-21.0
20,-20.0
21,-20.0
22,-20.0
23,-20.0
24,-21.0
25,-21.0
26,-21.0
27,-21.0
28,-19.0
29,-20.0
30,-21.0
31,-20.0
32,-21.0
33,-21.0
34,-20.0
35,-21.0
36,-21.0
37,-21.0
38,-21.0
39,-21.0
40,-21.0
41,-20.0
42,-21.0
43,-20.0
44,-21.0
45,-21.0
46,-21.0
47,-21.0
48,-20.0
49,-21.0
50,-21.0
51,-21.0
52,-20.0
53,-21.0
54,-21.0
55,-20.0
56,-21.0
57,-21.0
58,-21.0
59,-21.0
60,-20.0
61,-21.0
62,-20.0
63,-20.0
64,-21.0
65,-21.0
66,-20.0
67,-21.0
68,-19.0
69,-21.0
70,-21.0
71,-20.0
72,-21.0
73,-20.0
74,-20.0
75,-21.0
76,-21.0
77,-20.0
78,-21.0
79,-21.0
80,-20.0
81,-20.0
82,-20.0
83,-21.0
84,-20.0
85,-20.0
86,-21.0
87,-19.0
88,-21.0
89,-21.0
90,-21.0
91,-21.0
92,-18.0
93,-21.0
94,-20.0
95,-19.0
96,-21.0
97,-21.0
98,-21.0
99,-21.0
100,-21.0
101,-20.0
102,-21.0
103,-20.0
104,-21.0
105,-20.0
106,-20.0
107,-21.0
108,-20.0
109,-21.0
110,-20.0
111,-20.0
112,-21.0
113,-21.0
114,-21.0
115,-20.0
116,-21.0
117,-21.0
118,-21.0
119,-20.0
120,-21.0
121,-19.0
122,-20.0
123,-21.0
124,-21.0
125,-21.0
126,-20.0
127,-19.0
128,-20.0
129,-20.0
130,-18.0
131,-20.0
132,-21.0
133,-18.0
134,-19.0
135,-19.0
136,-20.0
137,-21.0
138,-20.0
139,-19.0
140,-20.0
141,-21.0
142,-21.0
143,-21.0
144,-20.0
145,-18.0
146,-21.0
147,-20.0
148,-21.0
149,-20.0
150,-21.0
151,-17.0
152,-21.0
153,-19.0
154,-21.0
155,-21.0
156,-19.0
157,-19.0
158,-18.0
159,-19.0
160,-18.0
161,-21.0
162,-19.0
163,-18.0
164,-19.0
165,-17.0
166,-21.0
167,-20.0
168,-21.0
169,-21.0
170,-20.0
171,-21.0
172,-21.0
173,-19.0
174,-21.0
175,-21.0
176,-20.0
177,-21.0
178,-18.0
179,-19.0
180,-20.0
181,-21.0
182,-19.0
183,-20.0
184,-21.0
185,-21.0
186,-21.0
187,-18.0
188,-17.0
189,-21.0
190,-20.0
191,-19.0
192,-13.0
193,-14.0
194,-20.0
195,-20.0
196,-17.0
197,-20.0
198,-19.0
199,-21.0
200,-18.0
201,-21.0
202,-16.0
203,-19.0
204,-17.0
205,-21.0
206,-20.0
207,-21.0
208,-18.0
209,-17.0
210,-21.0
211,-17.0
212,-21.0
213,-17.0
214,-15.0
215,-21.0
216,-15.0
217,-16.0
218,-17.0
219,-19.0
220,-19.0
221,-17.0
222,-13.0
223,-18.0
224,-16.0
225,-18.0
226,-18.0
227,-15.0
228,-17.0
229,-15.0
230,-15.0
231,-19.0
232,-18.0
233,-15.0
234,-15.0
235,-18.0
236,-17.0
237,-15.0
238,-17.0
239,-15.0
240,-16.0
241,-13.0
242,-16.0
243,-12.0
244,-16.0
245,-14.0
246,-17.0
247,-16.0
248,-10.0
249,-14.0
250,-11.0
251,-9.0
252,-12.0
253,-10.0
254,-7.0
255,-8.0
256,-15.0
257,8.0
258,-7.0
259,-20.0
260,-11.0
261,-3.0
262,8.0
263,-8.0
264,-5.0
265,-3.0
266,-5.0
267,9.0
268,-14.0
269,-12.0
270,-6.0
271,-11.0
272,-14.0
273,-3.0
274,1.0
275,-6.0
276,-10.0
277,3.0
278,-1.0
279,-2.0
280,-5.0
281,2.0
282,1.0
283,-3.0
284,-7.0
285,2.0
286,4.0
287,10.0
288,3.0
289,1.0
290,3.0
291,3.0
292,-5.0
293,-3.0
294,6.0
295,8.0
296,3.0
297,3.0
298,10.0
299,7.0
300,8.0
301,9.0
302,6.0
303,6.0
304,11.0
305,8.0
306,-2.0
307,7.0
308,6.0
309,9.0
310,10.0
311,14.0
312,11.0
313,8.0
314,14.0
315,8.0
316,11.0
317,15.0
318,10.0
319,11.0
320,14.0
321,13.0
322,-7.0
323,15.0
324,13.0
325,10.0
326,17.0
327,14.0
328,15.0
329,12.0
330,20.0
331,18.0
332,17.0
333,16.0
334,20.0
335,20.0
336,20.0
337,14.0
338,17.0
339,18.0
340,15.0
341,20.0
342,19.0
343,16.0
344,19.0
345,18.0
346,19.0
347,20.0
348,19.0
349,19.0
350,18.0
351,21.0
352,19.0
353,19.0
354,19.0
355,16.0
356,18.0
357,17.0
358,16.0
359,19.0
360,17.0
361,20.0
362,20.0
363,17.0
364,20.0
365,20.0
366,20.0
367,21.0
368,20.0
369,17.0
370,20.0
371,19.0
372,20.0
373,19.0
374,18.0
375,21.0
376,20.0
377,19.0
378,19.0
379,21.0
380,21.0
381,20.0
382,21.0
383,18.0
384,21.0
385,20.0
386,20.0
387,20.0
388,18.0
389,17.0
390,17.0
391,18.0
392,19.0
393,18.0
394,20.0
395,20.0
396,19.0
397,19.0
398,21.0
399,20.0
400,20.0
401,20.0
402,21.0
403,19.0
404,19.0
405,21.0
406,20.0
407,21.0
408,21.0
409,19.0
410,20.0
411,20.0
412,20.0
413,20.0
414,20.0
415,18.0
416,20.0
417,20.0
418,21.0
419,20.0
420,21.0
421,21.0
422,19.0
423,20.0
424,20.0
425,18.0
426,20.0
427,19.0
428,19.0
429,20.0
430,20.0
431,21.0
432,19.0
433,19.0
434,21.0
435,21.0
436,21.0
437,20.0
438,21.0
439,21.0
440,20.0
441,19.0
442,20.0
443,21.0
444,20.0
445,18.0
446,20.0
447,20.0
448,20.0
449,20.0
450,20.0
451,21.0
452,20.0
453,20.0
454,21.0
455,20.0
456,18.0
457,18.0
458,20.0
459,19.0
460,20.0
461,20.0
462,20.0
463,19.0
464,20.0
465,21.0
466,20.0
467,21.0
468,18.0
469,20.0
470,21.0
471,21.0
472,17.0
473,20.0
474,21.0
475,20.0
476,21.0
477,21.0
478,20.0
479,19.0
480,19.0
481,19.0
482,21.0
483,19.0
484,20.0
485,21.0
486,21.0
487,20.0
488,19.0
489,20.0
490,21.0
491,19.0
492,19.0
493,20.0
494,19.0
495,19.0
496,21.0
497,20.0
498,21.0
499,21.0
500,21.0
501,19.0
502,21.0
503,21.0
504,20.0
505,21.0
506,20.0
507,18.0
508,20.0
509,21.0
510,21.0
511,20.0
512,21.0
513,20.0
514,20.0
515,21.0
516,20.0
517,21.0
518,18.0
519,19.0
520,21.0
521,20.0
522,21.0
523,20.0
524,20.0
525,19.0
526,20.0
527,20.0
528,20.0
529,20.0
530,21.0
531,19.0
532,20.0
533,21.0
534,20.0
535,20.0
536,20.0
537,19.0
538,19.0
539,19.0
540,21.0
541,20.0
542,19.0
543,21.0
544,19.0
545,20.0
546,21.0
547,20.0
548,21.0
549,18.0
550,21.0
551,19.0
552,21.0
553,21.0
554,19.0
555,21.0
556,19.0
557,21.0
558,21.0
559,19.0
560,21.0
561,20.0
562,20.0
563,21.0
564,21.0
565,21.0
566,21.0
567,16.0
568,19.0
569,20.0
570,21.0
571,21.0
572,21.0
573,20.0
574,20.0
575,18.0
576,21.0
577,20.0
578,19.0
579,21.0
580,20.0
581,21.0
582,21.0
583,21.0
584,20.0
585,20.0
586,21.0
587,21.0
588,20.0
589,18.0
590,20.0
591,20.0
592,21.0
593,19.0
594,21.0
595,20.0
596,21.0
597,18.0
598,20.0
599,20.0
600,21.0
601,21.0
602,21.0
603,21.0
604,20.0
605,20.0
606,21.0
607,21.0
608,21.0
609,20.0
610,21.0
611,20.0
612,21.0
613,21.0
614,21.0
615,21.0
616,21.0
617,20.0
618,21.0
619,21.0
620,21.0
621,20.0
622,21.0
623,21.0
624,21.0
625,21.0
626,21.0
627,21.0
628,20.0
629,20.0
630,19.0
631,18.0
632,20.0
633,21.0
634,18.0
635,18.0
636,19.0
637,21.0
638,20.0
639,20.0
640,21.0
641,20.0
642,20.0
643,21.0
644,21.0
645,21.0
646,21.0
647,19.0
648,20.0
649,20.0
650,19.0
651,20.0
652,20.0
653,21.0
654,18.0
655,21.0
656,20.0
657,21.0
658,21.0
659,21.0
660,21.0
661,21.0
662,21.0
663,20.0
664,21.0
665,21.0
666,21.0
667,20.0
668,19.0
669,21.0
670,20.0
671,21.0
672,21.0
673,21.0
674,20.0
675,20.0
676,20.0
677,21.0
678,21.0
679,21.0
680,20.0
681,20.0
682,21.0
683,20.0
684,21.0
685,21.0
686,19.0
687,21.0
688,20.0
689,21.0
690,20.0
691,20.0
692,18.0
693,21.0
694,20.0
695,20.0
696,21.0
697,21.0
698,21.0
699,21.0
700,20.0
701,21.0
702,21.0
703,20.0
704,21.0
705,19.0
706,21.0
707,19.0
708,21.0
709,21.0
710,21.0
711,20.0
712,20.0
713,20.0
714,20.0
715,20.0
716,21.0
717,21.0
718,21.0
719,21.0
720,21.0
721,20.0
722,21.0
723,21.0
724,21.0
725,20.0
726,21.0
727,20.0
728,20.0
729,20.0
730,20.0
731,21.0
732,21.0
733,21.0
734,21.0
735,21.0
736,20.0
737,20.0
738,19.0
739,21.0
740,21.0
741,20.0
742,21.0
743,19.0
744,20.0
745,21.0
746,19.0
747,21.0
748,20.0
749,21.0
750,20.0
751,20.0
752,21.0
753,20.0
754,21.0
755,21.0
756,21.0
757,20.0
758,21.0
759,19.0
760,21.0
761,19.0
762,21.0
763,19.0
764,20.0
765,20.0
766,21.0
767,20.0
768,19.0
769,20.0
