,rewards
0,13.146149064218754
1,21.234193668081424
2,47.48927480342719
3,73.67469755122701
4,103.59604341158324
5,107.0334614645398
6,114.96594417599205
7,123.4623270672871
8,128.98372853245206
9,165.05037580188593
10,151.65044204074195
11,169.382175172233
12,177.21974864436052
13,209.65949375809228
14,217.48283952962035
15,236.48793225548806
16,249.40026716060257
17,274.22105389298866
18,300.0469862061975
19,274.88947542447033
20,264.76194228072427
21,282.9426934049064
22,301.35250148474046
23,278.273494535697
24,290.64942127436564
25,326.476089417218
26,366.20492512179146
27,345.8313890175239
28,425.7455631975199
29,428.98373751382707
30,502.00516137300525
31,517.1746336046743
32,561.084764948457
33,550.9819519099467
34,636.9462567404504
35,688.6036864198026
36,478.0466067174743
37,605.3939490553952
38,723.8770561327558
39,598.7934859407435
40,568.4443150019999
41,672.4182268081629
42,700.3286783447192
43,815.746197282305
44,701.8850583700563
45,858.01785095563
46,722.9223882985565
47,764.5646552979716
48,844.8364735828665
49,811.7500593887956
50,921.3681959317109
51,943.5935150506665
52,828.5427317357949
53,902.1197924202121
54,808.3569574220166
55,791.7763074735852
56,952.4028557288995
57,790.8005175937022
58,951.4476668172747
59,1054.6600489121752
60,994.5783811834764
61,927.1819245846127
62,1299.7138551276214
63,943.5602968286014
64,1086.471089066128
65,1208.3465709033399
66,1097.3267002351809
67,1341.1137914863593
68,1114.9355915637605
69,1056.5062230853034
70,906.4521201824557
71,1150.6152288051683
72,1019.9583492760805
73,1017.3688856384333
74,1055.6433584394658
75,1219.499615669064
76,1086.780081495805
77,1156.6150280797622
78,1356.8286151389898
79,1139.7232413240242
80,969.4508671921714
81,1311.6081741154715
82,1556.0956963017366
83,1292.262729956298
84,1337.3294113298837
85,1270.1080851137945
86,1782.4696970742557
87,2017.967128719196
88,1210.979823173549
89,1151.2481201444677
90,1283.984553830832
91,1730.9875794142795
92,1434.8191599604286
93,1655.7660256252777
94,1069.1556717037
95,964.5190574380066
96,1363.7009194953794
97,1409.8893933199192
98,1382.1240920691623
99,1230.158633187299
100,1256.359471814145
101,1514.429658213373
102,1336.523058238865
103,1312.171159832992
104,1174.6010678308542
105,1174.5888955580776
106,2326.688337355599
107,1349.034260443486
108,1105.0241012614395
109,1025.6148097486498
110,1414.4939889645038
111,1809.0238139964185
112,2125.08756089816
113,2029.599142258571
114,2032.5670874002944
115,1714.9977969447475
116,2378.8408197046133
117,1732.0149562858028
118,1120.0235706195306
119,3307.15760724581
120,2300.927009567123
121,2283.177483073866
122,1882.8757360508905
123,1788.39445773685
124,2947.311392895481
125,2524.9474641077068
126,2019.5397723377116
127,2156.224975115905
128,1529.2866962105275
129,1832.0450885614116
130,1445.056221901485
131,1469.814179704253
132,2500.7606318050466
133,1555.1803444899372
134,2171.7067460640874
135,1501.1585537456758
136,2522.1779569871337
137,2191.731269469317
138,2476.700394946394
139,2208.5901831218216
140,3389.365786177813
141,2139.889705156133
142,2590.62314729777
143,2100.2431123068304
144,2881.0687413550386
145,2769.7300823184073
146,1825.8257777771971
147,2345.252301685026
148,2243.612124908925
149,2337.117495844985
150,2168.175707445617
151,2507.24632607938
152,1421.4294108098322
153,2343.6724411432656
154,1669.131398687384
155,1781.4591718384188
156,1607.6666204922606
157,2952.1797928218475
158,2360.438136161624
159,3173.4839375820397
160,2806.6420813059976
161,3392.808497982844
162,3447.647595780616
163,2935.307044999292
164,3476.5106477980416
165,3417.9479546550406
166,3163.646711537631
167,3010.8330934533465
168,2824.308375106637
169,3419.645467920687
170,2796.368780092249
171,2632.0707498886077
172,2114.3132416625085
173,2997.016121285331
174,2386.031719429968
175,1939.7453001973947
176,2980.3335146563472
177,2833.5651203562084
178,2115.4883412700497
179,3581.523914414908
180,2680.1486037200198
181,2823.6558666201677
182,2011.6841462713796
183,2249.0425075700537
184,2246.8540465902006
185,3573.5859777847454
186,2672.394544194171
187,2381.8893743132553
188,2663.257130182772
189,2136.8266451118984
190,2629.7433631990657
191,3098.687336714915
192,1805.5304495832083
193,1436.8797391012756
194,2107.5856753365006
195,1673.7316215726585
196,1753.236708628993
197,2413.4231396222153
198,1646.7218345997057
199,2814.8396734922408
200,2962.158368483896
201,2464.185408393991
202,3131.3529719773082
203,1855.3211235817387
204,2078.142058217537
205,2466.3949746796484
206,3497.6615977425554
207,2676.731449023585
208,1979.481109179689
209,2960.659446299263
210,3693.082127350965
211,2588.305114119555
212,2791.8928414895604
213,2168.7013353672314
214,1974.5846280183991
215,2075.655991072
216,2417.576373900475
217,2192.2359320141713
218,1550.9862209965463
219,2658.4250812421255
220,1439.5888856662918
221,2658.853298104463
222,2617.3672471603863
223,2676.1367791814023
224,3013.518835399978
225,2726.7056005379186
226,2267.3831703025635
227,3219.3866555475906
228,3665.470656161864
229,2968.1617142257687
230,1554.876375159861
231,2203.993422377232
232,1953.8853995916459
233,2375.5106399123806
234,3381.8678639416958
235,2729.72321246715
236,2866.155487117424
237,2454.9767498608567
238,1934.317053711685
239,2620.080649193947
240,2107.0625651971664
241,2392.11287321953
242,1478.0865360730413
243,2457.6714171261187
244,2747.036116053941
245,2198.0485827616994
246,1478.4646627163074
247,2343.125969422417
248,2762.1165625325193
249,2985.233594319096
250,2378.084011058036
251,1997.5319619594975
252,1680.1240233990295
253,2206.5991286622393
254,1855.9213795526543
255,2206.555716816354
256,1822.28466504168
257,1567.8716061036139
258,3005.6540477548347
259,2265.687633695876
260,1873.8820548213444
261,2625.880477190011
262,2063.1437719611417
263,3184.859762904839
264,3471.990416519915
265,2153.258587688701
266,2624.6210353113443
267,2859.5418557348344
268,2021.9112781700287
269,2548.306510703678
270,3714.237108550975
271,3705.3239286062576
272,2420.343302464118
273,3059.13771553117
274,2930.73671228453
275,2176.1154285023727
276,1338.8179142960444
277,2662.954191749598
278,2427.372456280968
279,2706.331144206125
280,2435.0476922959533
281,2303.0982976269347
282,2180.419469277172
283,3717.9005949163657
284,1920.6402656663147
285,2686.428030654577
286,3680.4466250543887
287,2763.6034191108133
288,1723.0715361178827
289,2493.9163442376234
290,3682.12624113887
291,1695.7823339483884
292,1548.6446796711687
293,3595.107401470009
294,2613.5271542142236
295,2488.9882660082058
296,3500.2751668708734
297,3624.343388420711
298,2358.6332014425752
299,3043.1898701673126
300,1442.7372122639126
301,2710.747158726757
302,3650.5118952849007
303,3430.470220090461
304,2820.2169737874588
305,2208.7270679062694
306,2055.987316260142
307,1727.2331725989748
308,2476.157794665575
309,2632.6023330311777
310,2233.9369822320486
311,2078.2309812554445
312,2165.426945639893
313,2214.7872920656423
314,2484.8055023750335
315,2565.6905824200644
316,3018.28366479875
317,3493.2872015664857
318,2612.5837722740375
319,2141.6583084517442
320,3721.262147048078
321,2046.2937326504355
322,3769.175006125427
323,2445.975585282658
324,2074.451322571542
325,2881.7510829946405
326,2699.9088717070877
327,1936.5240859544265
328,2139.3183128031865
329,2370.3476581795476
330,2489.552462178804
331,2614.3559992411206
332,1939.0697966649604
333,3018.263936175368
334,2370.18387310999
335,2908.832777249331
336,3718.6241949952732
337,3705.656848307586
338,3745.2628257775978
339,2867.1369846639723
340,3543.0848196677352
341,3001.3838584274868
342,3082.7039864103353
343,2121.365849732439
344,3726.6688468843786
345,2339.635300227468
346,3724.8283891448104
347,3124.9542469419853
348,3045.857618478993
349,2599.0259809028116
350,2008.4113042723734
351,3740.2379115988924
352,3425.056071063059
353,3121.498423409019
354,2749.712073950333
355,2943.7322858878906
356,2854.488318559272
357,3697.655287998936
358,3039.8675086783333
359,3663.1893258127407
360,3657.2168907365203
361,2573.2229902003087
362,2089.3769131037734
363,3072.7167584453027
364,1939.1113343672864
365,3417.886063096451
366,3682.2043419721153
367,3684.7513801159744
368,1770.9449260390247
369,3677.900191014387
370,1932.237369872768
371,1562.8088238109688
372,3707.523224078547
373,2080.1621844195383
374,3692.1556487444514
375,3584.100704747577
376,3573.056229689678
377,3749.857907053206
378,3710.7705624783416
379,2654.7078501337332
380,2023.7884524955127
381,2038.9045004547331
382,2554.9778659969074
383,2165.0101222955955
384,2882.751516767694
385,2754.1309165322295
386,2945.704665217416
387,1103.218928149701
388,2434.291779346094
389,1875.1803254340248
390,1913.2644326262057
391,1640.002781946767
392,2804.10780857841
393,3612.172081422421
394,2484.3314341540595
395,1166.5188155615888
396,2912.788984652294
397,1401.6450458311967
398,2267.4246362891713
399,2862.4846850302406
400,2086.7337291341178
401,1983.3008988845704
402,1797.1537857322596
403,3613.2873985162923
404,2396.332637825522
405,2966.3646260074565
406,2086.147986484983
407,3398.8098988431625
408,2145.37077258567
409,3408.2941230884385
410,1965.5983072128636
411,1512.5163936592717
412,2037.6584753561517
413,2651.216262575585
414,2853.645571322441
415,3705.8464672115642
416,2795.486583681582
417,2082.197547078958
418,2466.8888829253247
419,2281.7130235923873
420,2948.410420707611
421,2764.6009963844713
422,2101.0156265518694
423,1938.8117327302457
424,3780.1922988709557
425,1636.779471368584
426,2329.024584023661
427,3028.480209989301
428,1832.6954953593263
429,2882.442676373424
430,2033.5470952863275
431,1814.9106574843868
432,2566.4835645326716
433,3708.447848820537
434,2137.1501546490813
435,2165.7384794867053
436,1799.204595066527
437,3100.2385285996334
438,3006.817424772152
439,2076.100596298172
440,2132.1867096233477
441,2224.6379112443906
442,1903.0508067838468
443,2611.5726814787095
444,2496.859417037148
445,3715.996268505398
446,2859.3421666159315
447,3077.6010261577776
448,2752.0932429005074
449,3691.5686090741565
450,3678.7418970644712
451,2948.141210290396
452,2939.2304633224594
453,3491.792530838907
454,2409.652946616319
455,3727.252700400625
456,3508.526252320267
457,2217.9926365758456
458,3678.8183922704175
459,3707.0587144795873
460,3678.7311193588416
461,3182.1161629331455
462,1866.7815372216282
463,3180.9541895241596
464,3245.007505411003
465,3668.9080541420335
466,3144.397506600679
467,3662.292447011448
468,3726.3372942955993
469,3666.1517112183174
470,3739.922680463087
471,3683.6459592529427
472,3650.8414341398984
473,3679.92724521068
474,3089.7611111396545
475,2289.827500973881
476,3460.2618881935473
477,3710.9670493175045
478,3407.443116188788
479,3678.473733408785
480,3091.456573517776
481,1517.4327601264918
482,2138.289198963217
483,2755.6871475974363
484,3711.1773078670967
485,3315.2288272306973
486,2481.8003093878797
487,2392.18248170535
488,2114.253082210888
489,2675.6215055276034
490,1887.5118360839085
491,2811.4721550643617
492,2061.8004792729007
493,2808.0854213074535
494,2089.578423284577
495,2753.412075546277
496,2054.2782314076994
497,3437.4107744018656
498,3204.223744108536
499,3674.820019032468
500,3003.1397458877045
501,3287.000126826799
502,1836.8469136835265
503,3707.544826002413
504,2867.0946211695314
505,2774.4874014518778
506,2662.998745210664
507,3042.221035634826
508,3510.4688649154928
509,1973.6842222515702
510,3230.3206100114476
511,2428.446968053339
512,1964.7391411746892
513,2539.324745213365
514,2022.882650206732
515,1641.711400287746
516,1334.5458653388612
517,3251.36551707507
518,2335.4189344635047
519,2276.726925871578
520,2408.5961028135066
521,3636.572443218841
522,3655.2716640580784
523,2278.7947973853466
524,1677.6677835707208
525,2643.373287665196
526,2315.369968361629
527,2561.9107034089193
528,2575.614274395038
529,3058.6916359457146
530,2555.1143454241524
531,2371.1422707601023
532,2556.4285431494536
533,3139.0293816206827
534,3401.9709443974657
535,2238.6223690167703
536,2965.9000263815647
537,3397.41270994771
538,3643.635470848616
539,2574.801268349949
540,3647.6218055842255
541,3642.1507693024105
542,3041.834693504205
543,3655.4856895621206
544,3642.8082753673493
545,3636.0488739391067
546,3654.748771286566
547,3640.2832111535654
548,3639.4377970543514
549,3613.79069637747
550,3654.6923665295285
551,3642.8914714668
552,3653.1975488913286
553,2603.5487473403696
554,3099.4846791696787
555,3653.1552505692034
556,2853.5808586631447
557,2783.0273698213373
558,2559.8231126981723
559,3542.2287381905376
560,2113.102059207508
561,3574.754975561095
562,1897.1834698536782
563,1952.150431195842
564,3369.941807706139
565,1169.6151416571245
566,3755.551815748763
567,2690.792012824993
568,2622.9589362902793
569,2738.7112839919887
570,2720.5199744297133
571,3636.1439352965076
572,3622.3745480546486
573,3636.2976920782976
574,2982.4542742899307
575,1829.7490783122441
576,3598.0664860514335
577,2640.7379204138338
578,3615.329736442368
579,2513.148925523738
580,3632.9039841204503
581,3625.3671703673012
582,3385.62767427149
583,3624.4006734367176
584,3522.4202555795873
585,2218.624767261686
586,2441.441249964249
587,3394.5473229899153
588,3229.8008020481843
589,2593.580985479615
590,3652.4196021041816
591,2355.486942396204
592,2071.9347467837997
593,2137.629496282599
594,2860.5724381681835
595,2840.9172203235103
596,2055.795113779511
597,2985.8986111059717
598,2551.258849395058
599,3159.2475691439818
600,3040.5649137686196
601,3125.9424116175783
602,2621.638045945126
603,1997.1580633478943
604,3644.3249152464314
605,2360.4751400768514
606,3659.4971189969756
607,3068.3756789905483
608,3152.563705972969
609,2091.7885505707645
610,2023.878339402159
611,2242.740493930268
612,3728.8396971523102
613,3049.4519548551602
614,2242.126654680021
615,2431.201471719152
616,2737.775829407458
617,2517.7380447402534
618,2843.2711884438045
619,2570.30826499128
620,2872.9524673455953
621,3136.977840086652
622,2487.0413855957772
623,2808.349198135648
624,2938.6280768138313
625,3654.546250657071
626,2762.003241886677
627,2819.3951559749025
628,1982.2625046876242
629,2290.036407556635
630,1885.3459715128
631,2084.9140305882624
632,2033.6935281609706
633,3540.1420916218126
634,1927.2092980874706
635,3167.5393344847603
636,1675.9646759091015
637,2016.5542842888299
638,1695.1859220408994
639,806.934526503613
640,2600.7859477862075
641,3650.1145600967156
642,2380.964776844518
643,2281.4620873174276
644,2731.565484736188
645,3699.0521827255047
646,1941.177141381542
647,3670.3854027294037
648,3687.148015302574
649,3665.879740017502
650,2723.4963836685915
651,2644.531841412097
652,3710.8081350530892
653,3668.5059974142077
654,3427.3567863619646
655,2363.357845108621
656,2245.854373669818
657,1940.9406300774617
658,2063.363611241749
659,3649.868893530691
660,1841.6638180284717
661,2338.696890272496
662,1303.2144421192806
663,3296.913321318074
664,2088.6665167443957
665,3293.8043140239447
666,3547.894796551526
667,3033.2099651373023
668,3684.1649460828344
669,2565.9867740016366
670,3201.7495791651368
671,2588.286742184234
672,3421.6504128841607
673,1864.774131508613
674,1608.7133728704832
675,3674.6383576453795
676,2646.525499140546
677,3264.1379469339454
678,3193.22646690644
679,3626.2705581616333
680,3714.129382990572
681,3192.4554762257817
682,3036.7530025446163
683,3235.646007981702
684,2427.253588824555
685,3705.504068166151
686,2611.8638218900624
687,3286.3439909777967
688,2596.3688628784457
689,1587.4249218365674
690,3630.286307853238
691,3033.4484867529973
692,3634.294142425512
693,3804.6684938517483
694,2757.3646423934338
695,2657.5252832357683
696,2591.315215964202
697,3682.9939555155515
698,2826.803509825811
699,3190.51348455365
700,1677.4674748222687
701,3071.017853008148
702,2321.466835690085
703,2488.6661505483535
704,3061.3801359672198
705,3659.6524627899325
706,3336.3497276895355
707,3662.14188859137
708,1567.7029864970234
709,2508.1509874641893
710,2813.3927007655793
711,2642.625605519387
712,2743.2151039090572
713,3746.4695175643255
714,2616.8559050618433
715,2968.665638816446
716,2256.0253562061025
717,2113.971689174418
718,2049.699153134536
719,2914.056312773104
720,2487.3478326554273
721,2496.8784911464345
722,2663.830573562514
723,3708.81960383965
724,3694.9067158687603
725,3615.2030319139603
726,2334.5038512019123
727,3057.872349263131
728,3721.101559989924
729,3681.9219944597758
730,2429.5675409251216
731,2858.983737051429
732,2453.6959324467766
733,2586.3055954749175
734,2047.820627298205
735,2581.24483601656
736,3696.196774809733
