,rewards
0,-1185.8127459827679
1,-989.9662272208427
2,-1188.7888143402029
3,-1067.1404797801563
4,-1090.80871653578
5,-1235.7563131193613
6,-1261.3491894881722
7,-1288.1814801431353
8,-1112.928189860812
9,-1183.8956158443566
10,-1331.766649334681
11,-1287.385139208729
12,-1381.2992961014868
13,-1243.3797798232092
14,-1376.1419557102367
15,-1321.155807717894
16,-1223.3028225011687
17,-1409.2520799058937
18,-1185.682460103537
19,-1182.7604472764017
20,-1253.7408182514707
21,-1407.899919680352
22,-1125.584402302183
23,-1175.8039900822373
24,-1150.1684709832443
25,-1179.05808530907
26,-1099.9025947762202
27,-1157.543630532883
28,-1178.7890340470806
29,-1211.31140946616
30,-1121.9975474261144
31,-1108.1660513926765
32,-1062.7233242980303
33,-1080.562275783534
34,-1164.8265862491344
35,-1195.711333071478
36,-1073.0170939080697
37,-1033.0413770719279
38,-1199.344517813922
39,-1434.282177542426
40,-1055.4701561833147
41,-1141.7803420485002
42,-1000.6346072807964
43,-1137.5263253645503
44,-971.6485828154247
45,-929.2284660090015
46,-1083.4479731688518
47,-1106.6381986302622
48,-1171.7486487222277
49,-1105.579856919554
50,-1196.3709964206432
51,-1160.4452992050797
52,-1110.4345142528364
53,-1105.368038860064
54,-1207.055823628794
55,-1159.0543586212748
56,-1107.3613319127885
57,-1206.6972537872734
58,-1152.9847475953297
59,-1072.6164874431313
60,-1139.1852662627546
61,-1127.1648250180422
62,-1025.6366769439335
63,-1111.2544907032761
64,-1016.9397417125995
65,-1028.643785114814
66,-1081.4824332847652
67,-1010.9529945044345
68,-949.3133637163588
69,-1012.0657155161593
70,-1094.7001122012002
71,-1091.7186454743426
72,-1014.0100690891819
73,-1068.6306798499509
74,-1225.15579985049
75,-1124.01787631791
76,-923.041636548244
77,-1069.1915736105082
78,-1081.4810412747627
79,-1096.8634280899867
80,-1211.012352419637
81,-1014.5510883257391
82,-1084.8598731920401
83,-1131.7599768086636
84,-1216.8555998249765
85,-1201.6201302423271
86,-1032.5275693663907
87,-1008.9063322224205
88,-1162.572404735954
89,-1029.9340130595015
90,-1168.4365145134711
91,-1023.0682704755469
92,-1062.72902171363
93,-1008.0787974217516
94,-1061.812600554844
95,-1126.104146714683
96,-1116.5879560951141
97,-1188.6043847047135
98,-1040.149504432256
99,-1003.2212364375624
100,-1152.89774668758
101,-1107.1287829170922
102,-1032.5022773544083
103,-1109.13479263471
104,-1041.6279332095241
105,-989.8853412168304
106,-1027.2687326517948
107,-1055.5479922754987
108,-990.8608058951617
109,-1015.6783460674791
110,-1021.4062117690453
111,-1061.8370204274888
112,-1103.6938412551078
113,-1041.5406938393967
114,-1151.2708011056902
115,-1050.7053003825795
116,-1128.132561014628
117,-1096.1970217528701
118,-1170.4038721738043
119,-1033.8293829366494
120,-1022.7668357061245
121,-1192.072479667696
122,-1007.1539120653166
123,-1027.4520885978804
124,-1159.492111781794
125,-1072.3600413998388
126,-1187.870900251582
127,-1019.2840353381929
128,-1041.8250079565396
129,-1019.256497958852
130,-1162.1332995665011
131,-1018.9290121382592
132,-1079.7520509770925
133,-1120.2138460236497
134,-1120.522938316512
135,-1115.6180368005896
136,-989.3085278118234
137,-1040.736665056024
138,-1095.3237063478955
139,-1039.7046267253322
140,-1070.5509737300158
141,-1041.860619224172
142,-1014.0119546282282
143,-1072.8151925498203
144,-1032.044029003602
145,-1013.5567609682057
146,-1003.8210766588825
147,-961.2027746796273
148,-894.3715536100175
149,-998.6930495672908
150,-911.9765317390413
151,-996.5983111169983
152,-968.4330965918185
153,-862.4083543791287
154,-930.6831423181741
155,-946.5514512907591
156,-878.6851681760388
157,-906.1351000713538
158,-927.1679392663442
159,-931.7945654134865
160,-886.8773372332353
161,-921.7335966208352
162,-916.8219878881353
163,-864.4928442595753
164,-984.1293200754137
165,-950.5853999174277
166,-980.8957794090678
167,-905.3108374087518
168,-1001.0434443789112
169,-885.0664111571294
170,-985.8254188266694
171,-980.0232442017661
172,-972.323691653229
173,-957.2841553706593
174,-980.2334066510133
175,-944.4077930765492
176,-1013.8735373034436
177,-941.146055754312
178,-1010.7152001535388
179,-994.5885607335824
180,-982.745614743674
181,-990.0620331580205
182,-947.3791792515215
183,-1020.955037623082
184,-967.6485650948802
185,-946.2134189710317
186,-891.9535505998651
187,-874.0073083363735
188,-846.5937951288088
189,-956.4502641963627
190,-910.4230196203633
191,-937.4880616288362
192,-905.6463646960034
193,-904.7310917609868
194,-926.4277342990003
195,-921.3037876499187
196,-1020.6368803418529
197,-1002.0827784800483
198,-927.814732846613
199,-973.9158292126206
200,-931.0253986280565
201,-898.258542062468
202,-906.6323317584092
203,-863.7480166624741
204,-1004.7066849500058
205,-969.900436070681
206,-997.4090685677253
207,-898.6542714598938
208,-936.0551718569034
209,-996.3520817558998
210,-918.1308951890185
211,-918.8064580034403
212,-958.64855462497
213,-1063.314571482378
214,-897.0181980534137
215,-1006.9495335494113
216,-917.0612355711482
217,-971.9652389009694
218,-948.9579465433746
219,-1035.5800154462768
220,-1031.282357819035
221,-966.6394889272372
222,-933.0082895485651
223,-988.4788674400127
224,-987.4037457791413
225,-1064.64965461488
226,-1030.4867149074323
227,-978.9678942280052
228,-1081.5770986962118
229,-1086.9497013612247
230,-1050.4517198341823
231,-1003.2556990525931
232,-1058.549315968707
233,-925.2540418431676
234,-952.5632027912145
235,-1033.6823778058465
236,-871.586449541101
237,-941.2235566974402
238,-1064.6842915832062
239,-930.4128758354798
240,-917.9622848576745
241,-896.2952528816862
242,-971.4402370447449
243,-970.4987295079596
244,-954.0302350426292
245,-1037.3925093384128
246,-940.8867868043569
247,-975.3728522841091
248,-969.6641461108537
249,-1006.6636663277734
250,-940.531213554752
251,-973.6310689410478
252,-956.5516215936774
253,-982.1894141175577
254,-970.5876886423819
255,-1024.992859514196
256,-977.5189038666058
257,-1005.8886657396349
258,-1018.5895682845245
259,-1070.2712554109387
260,-1010.1408513422981
261,-954.5665018250492
262,-986.9912637333875
263,-1026.788688430344
264,-979.6492961195275
265,-1009.994891270675
266,-1053.732797367979
267,-1032.8888422771402
268,-973.5634153546383
269,-992.0166927793812
270,-1013.3916865913941
271,-1011.7704218561497
272,-1005.6198542840812
273,-1004.0598890416135
274,-1055.1605327446769
275,-1040.5753591172368
276,-1059.945917338993
277,-1058.8101908630383
278,-997.4005998085636
279,-1014.5238274005005
280,-1057.2397347871151
281,-1059.681214589619
282,-1044.047447124966
283,-1084.6719897422795
284,-1031.7345028148222
285,-1063.320367490213
286,-1036.8187922175682
287,-1021.637651271584
288,-1019.1410681166847
289,-1033.7847956734754
290,-1049.9393226649563
291,-1049.1466525989113
292,-1022.3145786092682
293,-1038.642769960806
