,rewards
0,29.0
1,28.0
2,29.0
3,21.0
4,16.0
5,74.0
6,51.0
7,14.0
8,24.0
9,22.0
10,19.0
11,27.0
12,14.0
13,73.0
14,27.0
15,22.0
16,27.0
17,39.0
18,36.0
19,47.0
20,69.0
21,21.0
22,34.0
23,34.0
24,31.0
25,74.0
26,141.0
27,24.0
28,82.0
29,63.0
30,58.0
31,36.0
32,38.0
33,108.0
34,22.0
35,46.0
36,30.0
37,38.0
38,30.0
39,34.0
40,93.0
41,86.0
42,47.0
43,50.0
44,34.0
45,68.0
46,56.0
47,58.0
48,110.0
49,60.0
50,40.0
51,58.0
52,60.0
53,46.0
54,80.0
55,85.0
56,130.0
57,47.0
58,73.0
59,79.0
60,51.0
61,72.0
62,55.0
63,100.0
64,46.0
65,56.0
66,47.0
67,91.0
68,60.0
69,51.0
70,64.0
71,42.0
72,59.0
73,47.0
74,34.0
75,66.0
76,64.0
77,57.0
78,93.0
79,47.0
80,51.0
81,46.0
82,80.0
83,102.0
84,65.0
85,76.0
86,66.0
87,76.0
88,67.0
89,72.0
90,60.0
91,47.0
92,62.0
93,68.0
94,58.0
95,53.0
96,73.0
97,67.0
98,98.0
99,88.0
100,75.0
101,91.0
102,75.0
103,76.0
104,94.0
105,78.0
106,58.0
107,61.0
108,78.0
109,85.0
110,71.0
111,76.0
112,97.0
113,92.0
114,70.0
115,84.0
116,59.0
117,77.0
118,94.0
119,72.0
120,84.0
121,74.0
122,84.0
123,78.0
124,103.0
125,64.0
126,77.0
127,111.0
128,80.0
129,108.0
130,62.0
131,61.0
132,188.0
133,86.0
134,73.0
135,164.0
136,101.0
137,117.0
138,134.0
139,110.0
140,133.0
141,93.0
142,65.0
143,105.0
144,94.0
145,87.0
146,76.0
147,130.0
148,94.0
149,71.0
150,92.0
151,144.0
152,80.0
153,128.0
154,96.0
155,107.0
156,115.0
157,105.0
158,82.0
159,116.0
160,123.0
161,110.0
162,87.0
163,79.0
164,130.0
165,151.0
166,117.0
167,127.0
168,104.0
169,141.0
170,143.0
171,110.0
172,126.0
173,133.0
174,151.0
175,123.0
176,102.0
177,168.0
178,148.0
179,152.0
180,150.0
181,153.0
182,113.0
183,152.0
184,82.0
185,134.0
186,157.0
187,192.0
188,141.0
189,155.0
190,158.0
191,160.0
192,175.0
193,143.0
194,133.0
195,132.0
196,176.0
197,192.0
198,152.0
199,176.0
200,84.0
201,157.0
202,111.0
203,144.0
204,155.0
205,153.0
206,136.0
207,148.0
208,168.0
209,152.0
210,109.0
211,132.0
212,183.0
213,162.0
214,198.0
215,166.0
216,158.0
217,166.0
218,150.0
219,129.0
220,161.0
221,127.0
222,172.0
223,138.0
224,165.0
225,206.0
226,146.0
227,149.0
228,138.0
229,136.0
230,146.0
231,133.0
232,127.0
233,131.0
234,174.0
235,143.0
236,195.0
237,167.0
238,163.0
239,161.0
240,159.0
241,183.0
242,135.0
243,144.0
244,137.0
245,143.0
246,147.0
247,133.0
248,171.0
249,185.0
250,130.0
251,138.0
252,147.0
253,161.0
254,209.0
255,178.0
256,201.0
257,157.0
258,169.0
259,140.0
260,142.0
261,154.0
262,137.0
263,135.0
264,147.0
265,140.0
266,133.0
267,143.0
268,140.0
269,171.0
270,140.0
271,133.0
272,152.0
273,152.0
274,171.0
275,141.0
276,165.0
277,140.0
278,152.0
279,133.0
280,148.0
281,156.0
282,166.0
283,149.0
284,145.0
285,134.0
286,158.0
287,142.0
288,128.0
289,166.0
290,200.0
291,144.0
292,132.0
293,144.0
294,182.0
295,155.0
296,166.0
297,162.0
298,148.0
299,135.0
300,188.0
301,144.0
302,159.0
303,144.0
304,145.0
305,155.0
306,178.0
307,176.0
308,138.0
309,141.0
310,183.0
311,167.0
312,159.0
313,145.0
314,159.0
315,140.0
316,148.0
317,129.0
318,161.0
319,160.0
320,153.0
321,157.0
322,131.0
323,141.0
324,154.0
325,133.0
326,166.0
327,144.0
328,148.0
329,138.0
330,219.0
331,142.0
332,153.0
333,142.0
334,234.0
335,165.0
336,157.0
337,177.0
338,176.0
339,137.0
340,186.0
341,141.0
342,151.0
343,154.0
344,178.0
345,148.0
346,180.0
347,138.0
348,134.0
349,163.0
350,147.0
351,147.0
352,156.0
353,138.0
354,150.0
355,151.0
356,154.0
357,143.0
358,157.0
359,173.0
360,156.0
361,162.0
362,149.0
363,144.0
364,155.0
365,151.0
366,169.0
367,150.0
368,173.0
369,156.0
370,152.0
371,166.0
372,149.0
373,135.0
374,167.0
375,199.0
376,185.0
377,169.0
378,150.0
379,149.0
380,159.0
381,187.0
382,150.0
383,142.0
384,165.0
385,175.0
386,178.0
387,207.0
388,144.0
389,147.0
390,173.0
391,136.0
392,186.0
393,144.0
394,144.0
395,173.0
396,157.0
397,141.0
398,167.0
399,163.0
400,167.0
401,149.0
402,161.0
403,152.0
404,153.0
405,142.0
406,141.0
407,148.0
408,153.0
409,164.0
410,132.0
411,157.0
412,183.0
413,152.0
414,138.0
415,139.0
416,135.0
417,156.0
418,152.0
419,144.0
420,167.0
421,141.0
422,135.0
423,135.0
424,135.0
425,170.0
426,142.0
427,147.0
428,173.0
429,137.0
430,144.0
431,151.0
432,165.0
433,158.0
434,144.0
435,179.0
436,155.0
437,145.0
438,134.0
439,172.0
440,148.0
441,179.0
442,141.0
443,149.0
444,139.0
445,134.0
446,187.0
447,179.0
448,142.0
449,136.0
450,145.0
451,161.0
452,200.0
453,214.0
454,141.0
455,144.0
456,131.0
457,170.0
458,129.0
459,149.0
460,152.0
461,172.0
462,170.0
463,154.0
464,136.0
465,138.0
466,150.0
467,136.0
468,161.0
469,147.0
470,144.0
471,147.0
472,147.0
473,173.0
474,179.0
475,141.0
476,152.0
477,164.0
478,147.0
479,135.0
480,146.0
481,134.0
482,148.0
483,180.0
484,137.0
485,138.0
486,166.0
487,145.0
488,151.0
489,130.0
490,138.0
491,152.0
492,149.0
493,188.0
494,154.0
495,134.0
496,153.0
497,160.0
498,174.0
499,132.0
500,158.0
501,134.0
502,165.0
503,165.0
504,167.0
505,176.0
506,192.0
507,131.0
508,207.0
509,140.0
510,158.0
511,141.0
512,132.0
513,130.0
514,156.0
515,141.0
516,147.0
517,141.0
518,168.0
519,187.0
520,162.0
521,169.0
522,163.0
523,149.0
524,150.0
525,160.0
526,147.0
527,163.0
528,134.0
529,171.0
530,155.0
531,199.0
532,175.0
533,143.0
534,176.0
535,137.0
536,159.0
537,160.0
538,155.0
539,151.0
540,170.0
541,127.0
542,152.0
543,196.0
544,157.0
545,146.0
546,150.0
547,128.0
548,154.0
549,154.0
550,184.0
551,186.0
552,154.0
553,151.0
554,194.0
555,149.0
556,178.0
557,157.0
558,168.0
559,131.0
560,153.0
561,143.0
562,144.0
563,153.0
564,185.0
565,203.0
566,146.0
567,158.0
568,154.0
569,153.0
570,149.0
571,144.0
572,135.0
573,195.0
574,164.0
575,136.0
576,169.0
577,187.0
578,170.0
579,165.0
580,145.0
581,151.0
582,158.0
583,137.0
584,146.0
585,169.0
586,168.0
587,153.0
588,155.0
589,160.0
590,156.0
591,133.0
592,150.0
593,193.0
594,161.0
595,153.0
596,141.0
597,197.0
598,172.0
599,149.0
600,199.0
601,151.0
602,140.0
603,147.0
604,147.0
605,192.0
606,134.0
607,137.0
608,157.0
609,147.0
610,162.0
611,149.0
612,160.0
613,156.0
614,146.0
615,159.0
616,152.0
617,154.0
618,138.0
619,140.0
620,142.0
621,125.0
622,159.0
623,140.0
624,152.0
625,158.0
626,185.0
627,143.0
628,148.0
629,140.0
630,155.0
631,136.0
632,169.0
633,144.0
634,156.0
635,149.0
636,155.0
637,140.0
638,169.0
639,182.0
640,187.0
641,156.0
642,139.0
643,145.0
644,154.0
645,154.0
646,130.0
647,156.0
648,155.0
649,191.0
650,145.0
651,160.0
652,155.0
653,169.0
654,161.0
655,142.0
656,185.0
657,162.0
658,230.0
659,146.0
660,174.0
661,178.0
662,138.0
663,147.0
664,130.0
665,133.0
666,133.0
667,131.0
668,156.0
669,213.0
670,143.0
671,135.0
672,130.0
673,170.0
674,177.0
675,177.0
676,203.0
677,133.0
678,129.0
679,138.0
680,131.0
681,191.0
682,160.0
683,136.0
684,150.0
685,154.0
686,125.0
687,159.0
688,189.0
689,191.0
690,187.0
691,142.0
692,193.0
693,152.0
694,167.0
695,162.0
696,139.0
697,159.0
698,176.0
699,137.0
700,179.0
701,182.0
702,130.0
703,143.0
704,148.0
705,122.0
706,147.0
707,157.0
708,157.0
709,150.0
710,123.0
711,180.0
712,145.0
713,163.0
714,149.0
715,158.0
716,160.0
717,145.0
718,166.0
719,150.0
720,163.0
721,159.0
722,143.0
723,133.0
724,155.0
725,183.0
726,130.0
727,137.0
728,184.0
729,388.0
730,162.0
731,166.0
732,160.0
733,166.0
734,161.0
735,137.0
736,147.0
737,169.0
738,177.0
739,161.0
740,148.0
741,160.0
742,168.0
743,138.0
744,141.0
745,251.0
746,137.0
747,148.0
748,139.0
749,165.0
750,130.0
751,151.0
752,167.0
753,152.0
754,142.0
755,147.0
756,176.0
757,146.0
758,141.0
759,150.0
760,188.0
761,155.0
762,137.0
763,145.0
764,148.0
765,143.0
766,148.0
767,150.0
768,182.0
769,180.0
770,151.0
771,164.0
772,161.0
773,167.0
774,144.0
775,202.0
776,148.0
777,176.0
778,143.0
779,188.0
780,153.0
781,208.0
782,178.0
783,180.0
784,177.0
785,145.0
786,135.0
787,145.0
788,131.0
789,227.0
790,161.0
791,188.0
792,218.0
793,176.0
794,179.0
795,160.0
796,215.0
797,141.0
798,203.0
799,159.0
800,218.0
801,151.0
802,153.0
803,160.0
804,134.0
805,179.0
806,169.0
807,182.0
808,141.0
809,141.0
810,140.0
811,155.0
812,165.0
813,183.0
814,148.0
815,183.0
816,240.0
817,193.0
818,155.0
819,148.0
820,141.0
821,186.0
822,142.0
823,221.0
824,165.0
825,166.0
826,146.0
827,173.0
828,167.0
829,161.0
830,157.0
831,136.0
832,202.0
833,176.0
834,148.0
835,168.0
836,139.0
837,148.0
838,178.0
839,161.0
840,151.0
841,171.0
842,166.0
843,216.0
844,170.0
845,180.0
846,141.0
847,181.0
848,172.0
849,147.0
850,175.0
851,163.0
852,203.0
853,170.0
854,181.0
855,142.0
856,178.0
857,139.0
858,160.0
859,165.0
860,184.0
861,141.0
862,150.0
863,162.0
864,184.0
865,235.0
866,157.0
867,174.0
868,218.0
869,175.0
870,164.0
871,229.0
872,202.0
873,156.0
874,147.0
875,178.0
876,169.0
877,151.0
878,368.0
879,177.0
880,183.0
881,189.0
882,173.0
883,335.0
884,169.0
885,173.0
886,157.0
887,219.0
888,187.0
889,165.0
890,209.0
891,142.0
892,142.0
893,169.0
894,177.0
895,167.0
896,184.0
897,190.0
898,183.0
899,165.0
900,250.0
901,210.0
902,145.0
903,163.0
904,194.0
905,190.0
906,206.0
907,163.0
908,142.0
909,155.0
910,173.0
911,210.0
912,151.0
913,185.0
914,148.0
915,233.0
916,271.0
917,142.0
918,171.0
919,165.0
920,193.0
921,268.0
922,182.0
923,191.0
924,163.0
925,168.0
926,197.0
927,149.0
928,163.0
929,184.0
930,218.0
931,148.0
932,148.0
933,139.0
934,193.0
935,172.0
936,177.0
937,163.0
938,139.0
939,142.0
940,183.0
941,134.0
942,135.0
943,144.0
944,187.0
945,183.0
946,179.0
947,171.0
948,141.0
949,139.0
950,180.0
951,167.0
952,176.0
953,189.0
954,169.0
955,204.0
956,186.0
957,151.0
958,187.0
959,148.0
960,160.0
961,152.0
962,170.0
963,184.0
964,156.0
965,165.0
966,161.0
967,178.0
