,rewards
0,-1279.2835027158524
1,-1706.613460883352
2,-1137.3135740825883
3,-1638.8170090227586
4,-1368.3658451746778
5,-1681.1888622121123
6,-1180.3076571807587
7,-993.0920320738388
8,-1600.9105597517962
9,-1357.034942007331
10,-1196.9415200410551
11,-1352.1772807819966
12,-1349.31909186503
13,-1833.228542010584
14,-1552.2071509555656
15,-1381.0406359451977
16,-1652.446689390275
17,-1130.6726097407154
18,-1808.814106349858
19,-1187.0123857855367
20,-1534.8742444098498
21,-1043.7799523377478
22,-1706.114504617875
23,-1568.0288262265506
24,-1428.2086328801088
25,-1693.9666408644437
26,-1363.2569282254963
27,-1203.3890398600527
28,-1093.735550290132
29,-1085.6447662026776
30,-1796.5731648338365
31,-1167.2232059858359
32,-1647.5061881090994
33,-1493.3799831171793
34,-1512.1735478205424
35,-985.6703299425776
36,-1542.9294022208767
37,-1520.6409635442326
38,-1195.747391768129
39,-1626.2950578068128
40,-1669.5804655102102
41,-1558.4780461479534
42,-946.8599335568133
43,-991.6296378601381
44,-1595.5792865695746
45,-1706.2146624175375
46,-1178.2482028092181
47,-1171.7367096883133
48,-1073.7560325724714
49,-909.6160436681015
50,-1275.9830482502205
51,-1630.563684533878
52,-1004.2725371849225
53,-1657.715288976044
54,-1038.6398760481839
55,-1771.4263840518618
56,-1204.2825462799174
57,-1639.6899697220579
58,-1072.9328130292506
59,-1065.6096812355038
60,-1315.8685231973611
61,-1034.8549823193264
62,-1115.6754301806086
63,-1344.9553273999336
64,-1173.89023708295
65,-1062.9597984081568
66,-1074.218441487599
67,-1202.0445865273311
68,-1063.0196682834028
69,-1021.4030675293691
70,-1013.3697126421004
71,-1343.817033567546
72,-1128.3776208646755
73,-1308.439751792852
74,-1176.8147847819444
75,-1142.4158584463232
76,-998.628032503632
77,-1671.5961776564436
78,-1714.3575296262459
79,-1191.287513284897
80,-1524.7256398054276
81,-1742.383668217506
82,-1061.6686490152472
83,-1592.0782378822714
84,-1581.6071837556303
85,-1264.9652279512463
86,-1230.1473165696966
87,-1235.0877298203998
88,-1216.616168263811
89,-1053.6099239744347
90,-1267.6623806082985
91,-1334.4924626275822
92,-1227.9653268251313
93,-1359.5470433078176
94,-1651.810276254421
95,-1218.5483080048552
96,-1322.8228906756551
97,-1225.847170136831
98,-1192.0181379299725
99,-1561.4301014170285
100,-1088.1750670244387
101,-1154.7555734210077
102,-1212.5967611236858
103,-1356.7713360621951
104,-1579.6118565583047
105,-1231.1476561586799
106,-1151.4709058469034
107,-1649.8570686304631
108,-1179.6096273248666
109,-1503.2878752586366
110,-1363.1434937362317
111,-1232.5446535339063
112,-1483.889748253183
113,-1295.3382293832296
114,-1063.0974781796028
115,-1084.976983458167
116,-1057.0943282982641
117,-1354.6659801588507
118,-1360.1732198065633
119,-1198.3391626352636
120,-1313.6050146971795
121,-1204.498088253695
122,-1188.6243470515349
123,-1336.7053360680368
124,-1399.3886408338585
125,-1178.4998270858596
126,-1304.7363955942765
127,-1356.8495232865619
128,-1590.201709850192
129,-1385.3298652835194
130,-1206.4236962260536
131,-1427.3826671471911
132,-1414.9401820007722
133,-1443.667252599161
134,-1180.6821211131223
135,-1351.7959486897973
136,-1199.4558984395226
137,-1392.667637537199
138,-1279.1252262648056
139,-1411.6999078990236
140,-1395.047839561122
141,-1298.702128430548
142,-1361.3089002062422
143,-1366.3876817595708
144,-1396.8471038594967
145,-1231.994177716837
146,-1477.9351480358887
147,-1227.35848367106
148,-1231.3802910191885
149,-1210.7327501028344
150,-1178.1214235363377
151,-1373.487772432348
152,-1298.741019746664
153,-1398.8429522263364
154,-1187.2995983221942
155,-1212.6270272861873
156,-1212.3135068689166
157,-1369.4424103134072
158,-1242.5253422109167
159,-1219.3944668735023
160,-1360.5198172963126
161,-1452.4344285112334
162,-1168.4652290532895
163,-1116.3053183074296
164,-1056.6413912672938
165,-1180.990006201944
166,-1372.905660956306
167,-1283.9698674744388
168,-1238.3568837781252
169,-1236.2025742596368
170,-1184.8458696734972
171,-1319.953318151684
172,-1234.3684519849517
173,-1686.3662251197
174,-1216.0927938492991
175,-1134.7148534436126
176,-1329.9719510498776
177,-1339.155063575773
178,-1519.9939066437857
179,-1234.9873453076543
180,-1261.0418037123252
181,-1206.001341359117
182,-1223.3795372895258
183,-1395.9019323601215
184,-1362.0807991209317
185,-1365.3283792113587
186,-1227.6407958852424
187,-1240.631979480566
188,-1274.21716424362
189,-1225.3813569712227
190,-1210.5200376454777
191,-1143.1649652620224
192,-1389.3824594755454
193,-1277.101983459598
194,-1488.576685667377
195,-1171.3879223870535
196,-1500.0428374672797
197,-1255.4862686959084
198,-1439.998430053212
199,-1182.4688386470484
200,-1379.043304643721
201,-1283.9822132151155
202,-1237.1968656963593
203,-1232.8887234315318
204,-1222.8216487597456
205,-1200.19714501916
206,-1268.4089645159715
207,-1254.8577352078448
208,-1211.4811978650969
209,-1181.0969165611168
210,-1189.0209205246128
211,-1384.9022591475257
212,-1178.4075715201018
213,-1244.0070440829375
214,-1503.3116206031086
215,-1246.7532985091316
216,-1185.2142578671267
217,-1199.2384151096876
218,-1318.75122296124
219,-1249.3807101167747
220,-1329.8835392023645
221,-1382.6743872961704
222,-1219.5985737060118
223,-1237.1946661004133
224,-1290.4893500111896
225,-1356.4906202820744
226,-1168.6147643746729
227,-1195.5963335818474
228,-1213.7869281104702
229,-1308.9842535411433
230,-1038.4787135079991
231,-1166.9164487871353
232,-1201.428646351298
233,-1186.9270783908848
234,-1158.959670478576
235,-1158.631282360952
236,-1256.825858284593
237,-1360.5876358825428
238,-1114.1898328793552
239,-1209.0600168674348
240,-940.1390250002185
241,-1129.9538172044217
242,-1495.106580864627
243,-1135.2856881999187
244,-1203.9290308382442
245,-1109.976837819255
246,-1202.9382761939548
247,-1250.0573212883303
248,-1113.1457799583093
249,-1145.5069491979016
250,-1149.2399420150275
251,-1299.0696684180525
252,-1245.3254077662034
253,-1101.909807277792
254,-1152.7415593911066
255,-1131.0661097781988
256,-1103.5807350752007
257,-1559.404043614379
258,-1130.3720850914656
259,-1399.5257666227308
260,-1170.1906406341184
261,-1669.8749000923817
262,-1237.5658932023566
263,-1150.8693304583437
264,-1253.5125275659452
265,-1125.4615436416304
266,-1047.2417697631668
267,-1044.8392570412993
268,-1595.179025922131
269,-1141.7251977934689
270,-1160.8183728088366
271,-1167.9800873411962
272,-1206.48173741659
273,-1241.2867844110933
274,-1086.4208389132816
275,-1103.7123864696848
276,-1106.4153222561915
277,-1094.8204580793674
278,-1197.983606953249
279,-1178.530366765386
280,-1249.1371159399896
281,-1136.5730245037475
282,-1177.0042611442898
283,-1049.980442025211
284,-1185.7232645182482
285,-1103.1619158850763
286,-1157.1283692820098
287,-1396.4959254799257
288,-991.3317371077038
289,-1212.0969354079814
290,-1200.1080892277437
291,-1349.2469741173293
292,-1090.163031670094
293,-1189.811891611379
294,-1188.040403502508
295,-1111.193092803686
296,-1103.764095482026
297,-1150.5763795233368
298,-1176.8937682620995
299,-1155.6859857260174
300,-1108.9147513588734
301,-1116.6632021097782
302,-1263.3582254130554
303,-1416.8381861887683
304,-1156.7882236240823
305,-1122.6971597785098
306,-985.4802334438641
307,-1231.9412299729356
308,-1141.7050742890426
309,-1233.140997353805
310,-1174.9970542193541
311,-1101.4828119440695
312,-1366.738103934231
313,-1363.496399442355
314,-1129.666143288473
315,-1045.4190940992391
316,-1019.3805344814475
317,-1089.565900401289
318,-1195.3076576073306
319,-1243.5006088896068
320,-1116.7537776870302
321,-1062.5646945157202
322,-1053.0016279980503
323,-1176.1569917942218
324,-1336.916603464195
325,-1226.5418058849582
326,-1217.6436637161298
327,-1163.1772503377697
328,-1044.298173556967
329,-1186.1381850424784
330,-1201.461790819933
331,-1010.1679312686516
332,-1072.769318679747
333,-1161.5856491290408
334,-1214.4773241846212
335,-1404.1825426576281
336,-1061.1224807396918
337,-1164.2684225439812
338,-1122.271150442044
339,-1221.1739769680769
340,-1116.4821529802146
341,-1076.617861200664
342,-1166.1063402996838
343,-1273.8583193861537
344,-1422.3600894291105
345,-1199.366755828516
346,-1047.3459177047218
347,-982.6381996205289
348,-1214.559778751256
349,-1038.644979622111
350,-1207.3289714904909
351,-1251.8105175810088
352,-1210.7081776474793
353,-1440.1287168575996
354,-1105.2005658736234
355,-1014.819811492866
356,-1047.8210038097668
357,-853.496723270836
358,-1224.0856510071894
359,-1100.8925782954354
360,-1476.8081035262853
361,-1354.8472575010921
362,-1318.1860586135833
363,-1274.896734312336
364,-1190.4992610551958
365,-1161.7754425188878
366,-1453.6614341115628
367,-1601.9106435065294
368,-1259.1329407519504
369,-1047.1448700810088
370,-1071.8343009150708
371,-1174.0399970678113
372,-1263.001400894668
373,-1100.9110509708505
374,-1063.3848900732542
375,-1347.0617957154684
376,-1062.8791698345115
377,-1186.3870326556855
378,-1005.2969277794665
379,-1147.9113172228112
380,-1269.1343734544905
381,-1160.0620520427242
382,-1095.1215596429306
383,-1045.5665851135789
384,-1055.9757144926475
385,-1052.9165607885636
386,-1374.359313273505
387,-1064.0306707105442
388,-1170.672077170027
389,-1038.7416553285625
390,-1067.8994638129652
391,-1167.5175523285227
392,-1219.5574005898447
393,-1170.3152454548658
394,-1341.4939149295772
395,-1181.7255792003502
396,-1210.7903075607408
397,-1053.587060878422
398,-1183.4241956398598
399,-1243.8089050372175
400,-1228.2130828815054
401,-1212.900620165449
402,-1212.2260010586413
403,-1209.8690276460745
404,-1199.9562750119414
405,-1240.9808416228595
406,-1125.5004278244442
407,-1265.3422156198874
408,-1072.6977642462846
409,-1222.4130169697517
410,-1183.4178185612961
411,-1170.2576831455901
412,-1454.9878511113775
413,-1205.965558412894
414,-1204.4582181532996
415,-762.9779679785673
416,-1032.0058811731042
417,-1584.154846023454
418,-1042.3515237562065
419,-1038.1581974045773
420,-1343.4999964403364
421,-1158.050229568294
422,-1182.2191988530255
423,-1132.6396784930291
424,-1081.2911443810713
